location,title,company,salary,summary
"Chicago, IL",Data Scientist,Workbridge Associates,"$70,000 - $110,000 a year",A digital marketing firm located in River North is looking for a Data Scientist to join their growing analytics team....
"San Francisco, CA 94105 (Financial District area)",Data Scientist,Workbridge Associates,"$170,000 a year","This is an excellent opportunity for junior full-stack data scientists that want to own the entire modeling and data pipeline, and seek an opportunity with an..."
"Springfield, VA",Data Scientist,Fawkes IDM,"$95,000 - $115,000 a year",Ensuring successful deployment of client‰Ûªs analytics solutions and leveraging pre-existing analytics industry knowledge and technical integration and...
"New York, NY",Data Scientist,Averity,"$150,000 - $250,000 a year",
"New York, NY",Data Scientist,Averity,"$125,000 - $150,000 a year","Ultimately, we are searching for an intelligent, passionate, creative data scientist looking to use data science and advanced analytics to provide valuable..."
"Ambler, PA 19002",Data Scientist,Workbridge Associates,"$175,000 a year","Health, dental, vision. Ability to work with R and C++. By earning the loyalty of customers through relevant and efficient experiences, my client has continual..."
"New York, NY",Data Scientist,Smith Hanley Associates,"$80,000 - $150,000 a year",
"Philadelphia, PA",Data Scientist,Harnham,"$130,000 a year","Data Scientist - Healthcare. Data mining, machine learning, operations research, natural language processing, statistics, or information retrieval...."
"New York, NY",Data Scientist,Smith Hanley Associates,"$80,000 - $150,000 a year",Hands on data analytics and project management supporting our Actuarial Consultants. Applying innovative techniques to large payer data sets to establish value...
"Pleasanton, CA 94588",Data Scientist,Enterprise Select,"$120,000 a year","The successful candidate must be excited about learning new concepts from chemistry, physics, algorithm development and electrical engineering and applying them..."
"Brooklyn, NY 11249 (Chelsea area)",Data Scientist Intern,Vice Media Inc.,$11 an hour,"Data Scientist to help integrate analytics from VICE owned and third party. Strong data mining skills, drawing actionable conclusions...."
"New York, NY",Data Scientist,Averity,"$80,000 - $120,000 a year","As a Data Scientist reporting directly to our Chief Data Officer and Lead Data Scientist, you will be focused on analyzing TB of market data, write predictive..."
"San Francisco, CA",Data Scientist,All-In Analytics,"$140,000 - $160,000 a year","Seeking a driven data scientist with strong BI and customer analytics experience to work with sales, marketing, and loyalty within the top analytics team at a..."
"McLean, VA",Data Scientist,Veteran Staffing Network of Easter Seals,"$150,000 a year","Extensive knowledge of statistics/math, familiarity data structures, data analysis, and generally working with data, familiarity with, ideally, multiple..."
